Author,Content
Unknown,"Bài đăng trên bảng tin
Kate Nguyen
Kate Nguyen
   • Cấp 3+
Premium • Cấp 3+
Tech Talent Acquisition & HRBP | Hiring for Tech
Tech Talent Acquisition & HRBP | Hiring for Tech
2 ngày • 
 2 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
🚀 Welcome December, welcome new role! 🌲

Bestarion is seeking 𝟬𝟯 𝗦𝗲𝗻𝗶𝗼𝗿 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝘀 to help build a geocoding web platform for a US-based business. The project is primarily in C++, with a bit of Java and Python.

💼 Requirements:

• 5–7+ years of experience as C++ developer
• At least 1 year of experience with Java or Python 🔧
• Good English communication skills 💬
• Opportunity to US onsite

If you have a US dream 🌟 and thrive in a fast-moving environment or know someone who would be a great fit, feel free to get in touch! 🤝😊
…xem thêm
Hiển thị bản dịch
Senior Software Developer (C++ and Java/Python)
Việc làm của Bestarion: Leading Outsourcing Company in Vietnam
Vietnam (Remote)
Xem việc làm
Xem việc làm
13
4 bình luận
1 lượt đăng lại"
Unknown,"Bài đăng trên bảng tin
Kate Nguyen
Kate Nguyen
   • Cấp 3+
Premium • Cấp 3+
Tech Talent Acquisition & HRBP | Hiring for Tech
Tech Talent Acquisition & HRBP | Hiring for Tech
2 ngày • 
 2 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
🚀 Welcome December, welcome new role! 🌲

Bestarion is seeking 𝟬𝟯 𝗦𝗲𝗻𝗶𝗼𝗿 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝘀 to help build a geocoding web platform for a US-based business. The project is primarily in C++, with a bit of Java and Python.

💼 Requirements:

• 5–7+ years of experience as C++ developer
• At least 1 year of experience with Java or Python 🔧
• Good English communication skills 💬
• Opportunity to US onsite

If you have a US dream 🌟 and thrive in a fast-moving environment or know someone who would be a great fit, feel free to get in touch! 🤝😊
…xem thêm
Hiển thị bản dịch
Senior Software Developer (C++ and Java/Python)
Việc làm của Bestarion: Leading Outsourcing Company in Vietnam
Vietnam (Remote)
Xem việc làm
Xem việc làm
13
4 bình luận
1 lượt đăng lại"
Unknown,"🚀 Welcome December, welcome new role! 🌲

Bestarion is seeking 𝟬𝟯 𝗦𝗲𝗻𝗶𝗼𝗿 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝘀 to help build a geocoding web platform for a US-based business. The project is primarily in C++, with a bit of Java and Python.

💼 Requirements:

• 5–7+ years of experience as C++ developer
• At least 1 year of experience with Java or Python 🔧
• Good English communication skills 💬
• Opportunity to US onsite

If you have a US dream 🌟 and thrive in a fast-moving environment or know someone who would be a great fit, feel free to get in touch! 🤝😊
…xem thêm"
Unknown,"Senior Software Developer (C++ and Java/Python)
Việc làm của Bestarion: Leading Outsourcing Company in Vietnam
Vietnam (Remote)
Xem việc làm
Xem việc làm"
Unknown,"Bài đăng trên bảng tin
Muhammad Shehroz Butt
Muhammad Shehroz Butt
   • Cấp 3+
Premium • Cấp 3+
Technical Recruiter | Helping IT Professionals Thrive in Global Roles | Talent Acquisition & LinkedIn Optimization Specialist | Boolean Search Strategist
Technical Recruiter | Helping IT Professionals Thrive in Global Roles | Talent Acquisition & LinkedIn Optimization Specialist | Boolean Search Strategist
Xem dịch vụ của tôi
1 ngày • 
 1 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
𝐖𝐞’𝐫𝐞 𝐇𝐢𝐫𝐢𝐧𝐠: 𝐏𝐲𝐭𝐡𝐨𝐧 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫!

If you're passionate about building scalable applications and working with modern frameworks like FastAPI and Flask, we want to hear from you!

Join our growing tech team and work on exciting, impact-driven projects.

𝐑𝐨𝐥𝐞: Python Developer
𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: Onsite, Khayaban E Amin, Lahore
𝐄𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞: Minimum 3 Years

Ready to take the next step? Apply now and be part of something big!

…xem thêm
Hiển thị bản dịch
Python Developer 
Việc làm của Digital Dost
Lahore, Punjab, Pakistan (On-site)
Xem việc làm
Xem việc làm
9
4 bình luận
1 lượt đăng lại"
Unknown,"Bài đăng trên bảng tin
Muhammad Shehroz Butt
Muhammad Shehroz Butt
   • Cấp 3+
Premium • Cấp 3+
Technical Recruiter | Helping IT Professionals Thrive in Global Roles | Talent Acquisition & LinkedIn Optimization Specialist | Boolean Search Strategist
Technical Recruiter | Helping IT Professionals Thrive in Global Roles | Talent Acquisition & LinkedIn Optimization Specialist | Boolean Search Strategist
Xem dịch vụ của tôi
1 ngày • 
 1 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
𝐖𝐞’𝐫𝐞 𝐇𝐢𝐫𝐢𝐧𝐠: 𝐏𝐲𝐭𝐡𝐨𝐧 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫!

If you're passionate about building scalable applications and working with modern frameworks like FastAPI and Flask, we want to hear from you!

Join our growing tech team and work on exciting, impact-driven projects.

𝐑𝐨𝐥𝐞: Python Developer
𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: Onsite, Khayaban E Amin, Lahore
𝐄𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞: Minimum 3 Years

Ready to take the next step? Apply now and be part of something big!

…xem thêm
Hiển thị bản dịch
Python Developer 
Việc làm của Digital Dost
Lahore, Punjab, Pakistan (On-site)
Xem việc làm
Xem việc làm
9
4 bình luận
1 lượt đăng lại"
Unknown,"𝐖𝐞’𝐫𝐞 𝐇𝐢𝐫𝐢𝐧𝐠: 𝐏𝐲𝐭𝐡𝐨𝐧 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫!

If you're passionate about building scalable applications and working with modern frameworks like FastAPI and Flask, we want to hear from you!

Join our growing tech team and work on exciting, impact-driven projects.

𝐑𝐨𝐥𝐞: Python Developer
𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧: Onsite, Khayaban E Amin, Lahore
𝐄𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞: Minimum 3 Years

Ready to take the next step? Apply now and be part of something big!

…xem thêm"
Unknown,"Python Developer 
Việc làm của Digital Dost
Lahore, Punjab, Pakistan (On-site)
Xem việc làm
Xem việc làm"
Unknown,"Bài đăng trên bảng tin
Juhi Joseph
Juhi Joseph
   • Cấp 3+
Đã xác minh • Cấp 3+
Talent Acquisition Specialist
Talent Acquisition Specialist
1 ngày • 
 1 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
Immediate Requirement!!
Python Developer - 100% Remote
Experience Required: 5+years
Immediate Joiners Only

…xem thêm
Hiển thị bản dịch
Python Developer – 100% Remote
Việc làm của VGreen Technology Solutions (VGreenTEK)
Pune, Maharashtra, India (Remote)
Xem việc làm
Xem việc làm
13
3 bình luận"
Unknown,"Bài đăng trên bảng tin
Juhi Joseph
Juhi Joseph
   • Cấp 3+
Đã xác minh • Cấp 3+
Talent Acquisition Specialist
Talent Acquisition Specialist
1 ngày • 
 1 ngày trước • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
Immediate Requirement!!
Python Developer - 100% Remote
Experience Required: 5+years
Immediate Joiners Only

…xem thêm
Hiển thị bản dịch
Python Developer – 100% Remote
Việc làm của VGreen Technology Solutions (VGreenTEK)
Pune, Maharashtra, India (Remote)
Xem việc làm
Xem việc làm
13
3 bình luận"
Unknown,"Immediate Requirement!!
Python Developer - 100% Remote
Experience Required: 5+years
Immediate Joiners Only

…xem thêm"
Unknown,"Python Developer – 100% Remote
Việc làm của VGreen Technology Solutions (VGreenTEK)
Pune, Maharashtra, India (Remote)
Xem việc làm
Xem việc làm"
Unknown,"Bài đăng trên bảng tin
Trevor Gold
Trevor Gold
   • Cấp 3+
Premium • Cấp 3+
Consultant - Financial Technology Talent Aquisition | AI/ML
Consultant - Financial Technology Talent Aquisition | AI/ML
2 ngày • Đã sửa • 
 2 ngày trước • Đã sửa • Hiển thị với bất kỳ ai trên hoặc ngoài LinkedIn
Theo dõi
I am working with an AI startup that is building AI tools for finance, helping investment teams cut through data overload, outpace competitors, and boost productivity.

We are looking to hire very strong python developers with 3+ YOE coming from FAANGs, startups, or funds/trading firms. Machine learning experience is also highly welcomed.

Send me a message here or via emailto learn more!



…xem thêm
Hiển thị bản dịch
Senior Software Engineer 
Việc làm của Selby Jennings
New York, New York, United States (Hybrid)
Y tế, 401 (k)
Xem việc làm
Xem việc làm
16
4 bình luận
1 lượt đăng lại"
